pos_X	pos_y	c_theta	goal_X	goal_y	d_theta
75.14166961433266	-129.33888760175046	-0.6454337710508524	124.0	-180.0	0
83.13005870727714	-135.35433768463915	-0.7646479656562738	124.0	-180.0	0
90.3463198026728	-142.2771677275536	-0.8385610433289656	124.0	-180.0	0
97.03165623900922	-149.71398672044248	-0.8825709318082844	124.0	-180.0	0
103.38333147498	-157.43773074110732	-0.9050892385645721	-78.0	-25.0	0
97.20717749475952	-149.57292800914976	-1.641438998252371	-78.0	-25.0	0
97.91301679880463	-139.59786956937785	-2.7402912556095815	-78.0	-25.0	0
107.1185510581102	-135.6917027781679	1.912922373592565	-78.0	-25.0	0
103.76364428335582	-126.27126751578712	2.3879360724508505	-78.0	-25.0	0
96.47172912889833	-119.42817074749622	2.642266336778951	-78.0	-25.0	0
87.69267569243074	-114.63982857513149	2.7761651694534963	-78.0	-25.0	0
78.35296483586747	-111.066342725741	2.8432093651682173	-78.0	-25.0	0
68.79483472237628	-108.12658955012016	2.8727218898375777	-78.0	-25.0	0
59.15411987616991	-105.47016013187165	2.880847057481019	-78.0	-25.0	0
49.49213956338483	-102.89214996211793	2.8764735283604463	-78.0	-25.0	0
39.841526623064425	-100.27190763055386	2.8644724749062114	-78.0	-25.0	0
30.22305355399884	-97.53603924562374	2.847475849044301	-78.0	-25.0	0
20.652468061673574	-94.6370923102534	2.826851906091591	-78.0	-25.0	0
11.143701385113362	-91.54139266546579	2.8032370804677083	-78.0	-25.0	0
1.7106835276229067	-88.22202915716089	2.7768203165031493	-78.0	-25.0	0
-7.6313664830997645	-84.65466295824655	2.7474856595917503	-78.0	-25.0	0
-16.86476480623363	-80.81482501813127	2.714867858580528	-78.0	-25.0	0
-25.968026899710942	-76.67590979099035	2.6783448140315556	-78.0	-25.0	0
-34.91408591824319	-72.20734983984973	2.6369677002974163	-78.0	-25.0	0
-43.66764455082849	-67.37255808984732	2.5893034846195087	-78.0	-25.0	0
-52.18090225062903	-62.12618378593163	2.53311751784095	-78.0	-25.0	0
-60.38610834753309	-56.41001435987991	2.4647098332225847	-78.0	-25.0	0
-68.18139833378011	-50.146352968144484	2.3773850681896254	-78.0	-25.0	0
-74.02801187194096	-44.5424194656437	2.2573700972099933	-78.0	-25.0	0
-77.82032562161237	-39.9153455773739	2.1029080239261324	-78.0	-25.0	0
-80.09069930035561	-36.05913152073802	1.9220171233780896	-78.0	-25.0	0
-81.25236677792464	-32.888750488159694	1.7221832706674944	-78.0	-25.0	0
-81.63841884232487	-30.35815995300684	1.509953892986506	-78.0	-25.0	0
-81.52027384747564	-28.418737606515688	1.2908279987227802	-78.0	-25.0	0
-81.11348329375419	-27.003912537501396	1.0693355969370697	-78.0	-25.0	0
-80.5795198066159	-26.029883315422875	0.849201741585688	-78.0	-25.0	0
-80.02908660720291	-25.404315029914493	0.6335255278506942	-78.0	-25.0	0
-79.52884198981683	-25.036871153871772	0.4249387199796081	-78.0	-25.0	0
-79.11085861778605	-24.847729781430097	0.22573116498458298	-78.0	-25.0	0
-78.78301831462608	-24.77244290634863	0.03794162198136039	67.0	94.0	0
-68.7902152845803	-24.39311771247411	0.3949798222597637	67.0	94.0	0
-59.560171997231336	-20.54522206502415	0.5918738065156238	67.0	94.0	0
